matchId,teamId,ban1,ban2,ban3,ban4,ban5
BR1_2864493600,200,24,107,-1,-1,35
BR1_2865051186,100,107,777,84,238,30
BR1_2865051186,200,68,526,111,24,84
BR1_2860201798,100,11,107,-1,35,412
BR1_2860201798,200,55,121,126,64,-1
BR1_2860594557,100,902,122,222,114,24
BR1_2860594557,200,8,107,38,84,24
BR1_2863531782,100,11,59,122,-1,107
BR1_2863531782,200,107,11,58,80,111
BR1_2861835114,100,11,107,111,238,122
BR1_2861835114,200,64,22,35,84,114
BR1_2858964688,100,-1,910,902,107,11
BR1_2858964688,200,53,28,24,11,33
BR1_2860655881,100,-1,157,104,60,81
BR1_2860655881,200,38,22,84,16,107
BR1_2858984026,100,157,40,145,54,35
BR1_2858984026,200,24,235,107,11,-1
BR1_2859636253,100,11,555,30,85,84
BR1_2859636253,200,24,141,555,7,58
BR1_2859873175,100,-1,24,121,141,360
BR1_2859873175,200,35,38,141,59,777
BR1_2863505184,100,910,12,-1,-1,131
BR1_2863505184,200,24,107,62,412,777
BR1_2864909453,100,238,53,64,412,122
BR1_2864909453,200,-1,266,238,121,145
BR1_2858497230,100,110,15,8,24,114
BR1_2858497230,200,114,360,-1,11,157
BR1_2862607653,100,117,134,119,24,-1
BR1_2862607653,200,7,107,111,22,-1
BR1_2862633994,100,51,200,119,-1,85
BR1_2862633994,200,38,55,7,77,27
BR1_2865102856,100,28,104,134,-1,200
BR1_2865102856,200,111,203,8,68,81
BR1_2863203308,100,114,22,910,203,235
BR1_2863203308,200,888,107,777,119,145
BR1_2862033717,100,24,11,111,30,8
BR1_2862033717,200,9,30,22,107,-1
BR1_2860616387,100,29,200,518,111,54
BR1_2860616387,200,25,897,-1,122,107
BR1_2857890453,100,-1,24,141,11,107
BR1_2857890453,200,78,11,157,39,35
BR1_2858043307,100,25,30,114,28,60
BR1_2858043307,200,24,107,51,777,145
BR1_2862581459,100,555,81,7,92,67
BR1_2862581459,200,517,48,-1,85,238
BR1_2859044245,100,-1,166,157,203,64
BR1_2859044245,200,-1,517,-1,-1,92
BR1_2865263038,100,30,64,-1,11,200
BR1_2865263038,200,64,24,555,61,121
BR1_2857785916,100,897,526,33,895,777
BR1_2857785916,200,526,-1,24,11,-1
BR1_2864671027,100,22,64,895,92,360
BR1_2864671027,200,157,24,141,111,40
BR1_2864530269,100,30,157,40,54,166
BR1_2864530269,200,64,432,7,33,54
BR1_2859554309,100,163,55,555,517,-1
BR1_2859554309,200,432,30,111,-1,-1
BR1_2857988501,100,777,555,145,240,498
BR1_2857988501,200,2,9,526,55,30
BR1_2863305045,100,92,107,145,11,30
BR1_2863305045,200,48,141,11,68,107
BR1_2859079049,100,107,91,33,114,8
BR1_2859079049,200,91,-1,777,238,-1
BR1_2859624759,100,110,22,157,53,39
BR1_2859624759,200,107,11,28,-1,35
BR1_2861017103,100,157,55,33,-1,12
BR1_2861017103,200,107,111,110,777,84
BR1_2862559164,100,33,11,114,517,777
BR1_2862559164,200,24,157,117,-1,9
BR1_2864694905,100,421,30,119,84,114
BR1_2864694905,200,7,64,22,122,33
BR1_2859685887,100,120,59,-1,107,84
BR1_2859685887,200,895,9,902,40,777
BR1_2864233794,100,64,11,-1,240,67
BR1_2864233794,200,58,115,157,30,517
BR1_2859087858,100,126,107,24,910,200
BR1_2859087858,200,107,887,63,11,157
BR1_2865499333,100,246,266,84,200,107
BR1_2865499333,200,240,104,84,11,107
BR1_2863493079,100,33,888,24,28,22
BR1_2863493079,200,91,30,236,360,11
BR1_2860189295,100,-1,117,28,-1,68
BR1_2860189295,200,110,268,7,85,122
BR1_2858934981,100,33,910,119,163,54
BR1_2858934981,200,64,555,24,22,157
BR1_2858069371,100,-1,33,51,-1,141
BR1_2858069371,200,200,24,163,145,107
BR1_2862034075,100,497,38,163,33,40
BR1_2862034075,200,33,53,126,120,68
BR1_2858483018,100,555,24,30,56,43
BR1_2858483018,200,24,64,777,110,114
BR1_2857999613,100,92,498,107,91,2
BR1_2857999613,200,30,141,23,8,526
BR1_2865232746,100,200,29,245,114,38
BR1_2865232746,200,64,55,145,238,-1
BR1_2857370947,100,-1,56,64,910,555
BR1_2857370947,200,-1,555,39,-1,157
BR1_2862633439,100,420,51,64,266,910
BR1_2862633439,200,235,107,246,24,33
BR1_2857268909,100,24,110,-1,54,11
BR1_2857268909,200,104,-1,157,350,114
BR1_2865281216,100,236,91,110,-1,92
BR1_2865281216,200,64,2,235,84,81
BR1_2865065229,100,56,420,84,101,141
