puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
xEXUdHtg_4YL-sBZLxh9gD1AQirOdmhyKI7OFHkSFsTMF_6bhunXiOYHDo7N8EDVWUQ9-VCW2bvWFw,GNPtXddcRH6v088rGU95nNxUGPqiM57XitUjah0tH3HxUZU,Xeatos,Xeatos,BR1
z7cONTLTCqrLBRx9JdUcdvadBBlit8acmCCSbDgEkw_5VUujoGgvJ-U1iEpCPGa9ni-nGqP9Bp5cyw,zcggXNQpW0SCOZy_Zff5Y2rlQ5ZwsK3uRmwlzD_BBBclKGW2xt52Wcu3yA,mr ghostface,Kim Dokja,전독시
1wlsciF2A7l75jMpdPDt3Vb_k1QKgCE7DKbkspSeIT-7RXUxUmACl0-ijls0AM234jvMNaXcmUwGUA,VC0A5JeTH8uDWJmG2ry2seDvuF-wFDdlAoHmfghfQpGNHGY,PAPALMITO,PAPALMITO,BR1
iOvhHu_EK0HHN_MT84htHBhwZchcRRvDHK3vgC63b8lDFdxnFOdfAO3whfopRII3LWCZZaWjsJ6jUg,pzpzIrnSxkWo1dhznklOUnFCcLuPFZ-c90_83ncNrVWGqK6ZFofM2vQdkw,zegos,Mike Tyson,IRON1
fucPDO1de3k8WE3vSl7t5cYo-lTtyK8UmVjAVeVNpkdyevTMEtuRqhfkcvxHqL7ebeySfPA6MNBMxw,ooNJ-kUvkUJLAIR0qCuc3iRKzdWmFx7v8O7J6GmDH_3ilzM,Tata UwU,tendo,Tata
DkuPlnKZ6ER9RwrwGXrotlKLAGs1bfKEbhqHRdxi8NXx5x0BLGhdtc4hCYMurhR9vLhUnNnloF1pYA,xgwoXQSNdbRJL9CrPyNX43wpS1ufYPgIVaU_8mteJ0eRMg,Twitch Lord Semi,Twitch Lord Semi,BR1
9uiK2GcHcYTKY6xH37QkvBVgud8SUwTtKxcwLc1Dar0f9a6x_eEYMngKfhxOU-3CRjLKdtSTUiAAfA,G_X3oJt_XO5ai5TzZigDLTbo4avNLKbh05l7PIVHjD-KKA,Azeos,Azeos,444
-HVox2El8AJnFkEDM5NNWBsVf7-oLZs-WD4tbIILB4xljZNILlfn4rYzpKa5nm4946dfXP3B46mqbw,RnVxZtmLFkMP1lYhOTGprJ9h5cJzenmAZrfgXMUBX24lCcw,Sakurasou,Sakurasou,BR1
zKwr9bWDLwlgP0dUKuKXpQpJct1fqovJTHuXwUXkcV3JkR1JcNTrWyLJq4fXyIoM0jPmBG7bFZTG0A,J5p0kprlkaHgB_EatX0S4rOdpk5vCaSGCY57bhXWrWDtUk0,Vegayne,Comrade Zephyr,1917
Gene8sq2kJAJY4I_h-kmvdBOnGBwrRSBoBRL9_nttPfJLIUcrHrirIRmVgHRw05f1Fgr6W61WlF0qg,cp92UuavyT-bU11w99XbAlTdi0DYklCukUA5BKJ4LmKCSjg,Nitz,Nitz,BR1
VTIjrcPVSWwHhqcHyeJ5KAk7QNxPjlC-ty1bf5pMPA5k6s_L1zraS0tA6G2dKJPFGicZLByTjx4QhQ,vcGifB3JPSj7SVKFJd-jxyq_Sje7GOAQIPV25SEmDxQ1q70,P Í P S,No Chat Jungler,JUG
ND24L8dJ3OCMNFtQ5zzB_hdUmrLJZ6P05rO6PXyyXrmAlfLPDp1To6iY-c1QqacKmfeOsmodCmiuFg,gcJXHXCZTt8aF5bYQ3RRMz82Hgp3Kf0BKQvsY05Ul7iAcpI,HKS Dazai,Dazai,6589
PI_F5S8pbTFr6Pl-ooOogm0l0mkNbY2ITtkVa1gLqQNsy0DZBuG7X0-L00UTHGXa3exw2odK43ItRw,bmyuJ3Et4H_6X3b-kJh0o94_Pp8qKNGWc-nqxZIEV1BT1Q,Powebeke,Powebeke,BR1
b7BCx3koLYagPzY8aFhvi_Iwg8mVvq7MWC3z6tJ8z4h-rnGNdw7OnvPIs9VBWpT-0SNAmPe0G66EGA,BPo5uPlFttUYidoM7X76QZXH_DEesSSt2QUeIMMG5MD-5w,Lyssan,Lyssan,BR1
yhfg0f7v1KPoS7EyU0XOVMmuHaEbQpMdyok7BDC-Q9MpFS0ICzwLdWdrjeOCcVrXWfF8xdFEjWK45g,9XJOq6JL4vl0raFTikQQ85ai03ha9veHIDcer7GD1Jx5gxM,l ningning l,ningning,444
gSnh7E7X1ZeEyWPOlQVdwp2PTyoFiG846SO3UD48HjfoSWBUFHHZ8ldklVmr4hcdiAcR0wxyELurtQ,GigdEnguuVdm6aRQRZgzoL4soVHdM86RO4QxZnuwqOsOLq8,never be 4lone,Samkz,KZ01
VbF-qoH7JnVC8y9jS4ObwHIx1C46y5kco5BGx4NQxLHccooPdMg2NDEICwPLyZgj1adsrvqJkeMbdA,gl1HyFpbqv9mG21bUqmy9MkpmSP1qBVtFzXOKnpo1r-JNWM,tutu da zs,tutu da zs,BR1
O9DQ4PP7WJ8vckUBr0SP2i0b-Dg0urlqgUP9qFcRlI1rdW8nnVdYYZIISd1p-NpfVAeRnpuALBCfmg,coZv7XLhq_S7mgaDP6OhCN58bKBTIOu8NkYRNatrRMugig,ily saomi ,meyy,meyy
