matchId,puuid,participantId,teamId,championId,lane,role,individualPosition,teamPosition,timePlayed,championName,championTransform,champExperience,champLevel,win,kills,firstBloodKill,firstBloodAssist,deaths,totalTimeSpentDead,longestTimeSpentLiving,assists,killingSprees,largestKillingSpree,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,unrealKills,baronKills,dragonKills,turretKills,firstTowerKill,firstTowerAssist,turretTakedowns,turretsLost,inhibitorKills,inhibitorTakedowns,inhibitorsLost,nexusKills,nexusTakedowns,nexusLost,objectivesStolen,objectivesStolenAssists,totalMinionsKilled,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,goldEarned,goldSpent,bountyLevel,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,consumablesPurchased,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,totalDamageDealt,totalDamageDealtToChampions,largestCriticalStrike,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalUnitsHealed,timeCCingOthers,totalTimeCCDealt,detectorWardsPlaced,sightWardsBoughtInGame,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,placement,eligibleForProgression,subteamPlacement,playerSubteamId
BR1_2860006871,tupM68rdIKoBwJkpyrexALA7njWs0ixNdKtMumZX4Dy4Y0d4toIbJxdK0dMHpVi4tuuYV_U9DJf1YA,6,200,164,TOP,SOLO,TOP,TOP,1647,Camille,0,14625,15,True,9,False,False,2,77,1098,8,2,5,1,0,0,0,2,0,1,0,0,False,False,3,4,1,1,0,0,0,0,0,0,147,8,2,0,11088,10483,5,1055,6333,3047,3133,3077,3078,3340,22,5,208,45,99,10,4,12,6,14,6788,11004,6788,29408,1710,1710,5601,78048,13002,18102,38421,5812,2564,118181,20525,0,0,26267,6867,0,1,21,150,2,0,19,2,0,11,False,True,False,0,True,0,0
BR1_2860006871,DkuPlnKZ6ER9RwrwGXrotlKLAGs1bfKEbhqHRdxi8NXx5x0BLGhdtc4hCYMurhR9vLhUnNnloF1pYA,7,200,33,JUNGLE,NONE,JUNGLE,JUNGLE,1647,Rammus,0,15470,16,True,8,False,False,0,0,0,12,1,8,2,0,0,0,2,0,0,2,1,False,False,3,4,0,1,0,0,0,0,0,0,44,155,112,0,13912,12475,8,3075,3068,3009,6665,8020,0,3364,18,2,109,125,62,8,17,11,5,6,1521,37314,1521,66303,118810,16426,9263,38222,2261,21055,75081,819,2564,232113,19506,110,0,32882,19099,419,5,46,685,1,0,15,1,2,3,False,True,False,0,True,0,0
BR1_2860006871,3bY2G2lXsr82seODSQZqnf1yXQ7y3RFOGBBlInC7Njuu9Xb3Soitx2mIMRd6WfXmEKAtMiv99YS2rA,8,200,133,MIDDLE,SOLO,MIDDLE,MIDDLE,1647,Quinn,0,13473,15,True,10,False,False,5,137,559,6,4,3,1,0,0,0,2,0,0,0,0,False,False,2,4,0,1,0,0,0,0,0,0,153,0,0,0,11713,10750,3,6676,3142,3111,3095,0,0,3364,23,2,49,26,31,35,4,4,6,14,1339,10326,1339,10208,6691,3418,8881,104603,20475,12460,5803,1108,576,117098,25002,666,0,21918,7294,0,1,29,113,0,0,13,0,3,1,False,True,False,0,True,0,0
BR1_2860006871,m-9fGeRSHDdZpHkDIWehUVpJPB8caobl1EGV2vhwpwT8oe8KQwjgBgyMmXv91TQEmgKT5qB20jFyjg,9,200,22,BOTTOM,CARRY,BOTTOM,BOTTOM,1647,Ashe,0,12572,14,True,5,False,False,8,145,292,11,1,2,0,0,0,0,1,0,0,0,2,False,False,3,4,0,1,0,0,0,0,0,0,161,0,0,0,10746,9583,0,3078,6672,3006,1055,1053,1043,3363,24,2,14,77,11,9,4,4,6,6,2705,18476,2705,8199,2751,2081,7577,96178,13974,10271,3199,146,976,102130,16202,222,0,18824,1975,0,1,41,530,0,0,14,0,1,3,False,True,False,0,True,0,0
BR1_2860006871,-TmK8sLa_AJlLCzIrFDSOhlEuknvNgVKa_woJQr8aV4pNu70I9gZXvLtD5P6f-50vJv4Hes7zVJfYg,10,200,497,BOTTOM,SUPPORT,UTILITY,UTILITY,1647,Rakan,0,9282,12,True,1,False,False,7,146,412,15,0,0,0,0,0,0,1,0,0,0,1,False,False,3,4,0,1,0,0,0,0,0,0,33,0,0,0,7245,7075,0,3860,2065,2055,3111,3050,0,3364,26,11,46,32,59,8,3,4,6,14,639,2748,639,14064,7886,3883,10858,4724,721,6741,6254,1114,216,18865,5718,0,2644,17817,6210,3081,5,15,35,7,0,67,9,9,25,False,True,False,0,True,0,0
BR1_2862245406,mdEypgLa1lSMph3qKGMfKK38OOa6oHFdPs13K57VCkl3mFOZbB3q18Hx8E8Jyw_Rnxi_jYN4bk-Ysg,1,100,68,JUNGLE,NONE,TOP,TOP,1361,Rumble,0,10446,13,False,4,False,False,5,167,577,0,1,3,0,0,0,0,1,0,0,0,1,False,False,1,10,0,0,2,0,0,1,0,0,160,0,0,0,8121,19744,0,3067,3067,3067,3067,3067,3067,0,25,3,100,109,99,6,3,4,5,14,2448,2448,2448,8359,77392,11699,8935,9106,869,4806,770,770,347,87269,13338,0,0,14089,9,0,1,8,178,1,0,11,1,1,7,False,True,False,0,True,0,0
BR1_2862245406,ZHg4vPSn0JmnPveuBucRrfIGwjV1yPSE0NquvurRxj1B3T6uldB6js01I4Y21bt5CgRYxFeYeQtq7A,2,100,121,JUNGLE,NONE,JUNGLE,JUNGLE,1361,Khazix,0,9716,12,False,5,False,False,6,121,634,2,1,4,0,0,0,0,1,0,0,1,0,False,False,0,10,0,0,2,0,0,1,0,0,32,116,101,0,10031,8900,1,3134,3142,3158,3133,0,3179,3364,19,3,135,82,25,13,10,11,2,4,0,7954,0,13825,659,659,7030,123381,7985,20280,22511,421,354,146552,9066,0,0,27665,12537,0,1,8,173,2,0,29,2,11,4,False,True,False,0,True,0,0
BR1_2862245406,KF8dlUY39ya4jX8oJ0bwaSfaKQOGsCkCC1ctXIwhyErfd2gwpc_iSC5Sb_QfRkJeyz2orajnVIaroA,3,100,246,MIDDLE,SOLO,MIDDLE,MIDDLE,1361,Qiyana,0,9938,12,False,3,False,False,8,207,326,5,0,0,0,0,0,0,1,0,0,0,0,False,False,0,10,0,0,2,0,0,1,0,0,146,0,0,0,9236,8875,0,3134,3142,2031,3158,6696,1054,3364,20,2,99,123,33,7,3,4,4,14,1180,2593,1180,10334,7375,1272,4868,88896,14150,14041,830,817,1161,97102,16241,0,0,20071,0,0,0,13,28,1,0,10,1,1,3,False,True,False,0,True,0,0
BR1_2862245406,fym85yWjixMyq9-4sePC6dq_wpLnf-bx_KWRLh1ehPL52aJ4c9mKz6OcaoMs-J9NHxI1c9XPM9Ul6g,4,100,110,BOTTOM,CARRY,BOTTOM,BOTTOM,1361,Varus,0,6673,10,False,2,False,False,8,128,403,1,0,0,0,0,0,0,1,0,0,0,0,False,False,0,10,0,0,2,0,0,1,0,0,124,0,0,0,6967,6640,0,1055,3153,6677,1052,3006,0,3340,16,2,34,9,27,7,3,1,4,4,149,149,149,7134,5598,1665,3811,48515,6049,10414,10,10,1037,54124,7725,0,0,15263,1703,0,1,15,138,1,0,11,1,1,7,False,True,False,0,True,0,0
BR1_2862245406,MomQucYPD87W4q_Hi2sH32KOsiy2OzSU33brymLp_fWdAmcHjybHj6svCWnQ_JFS5czf5-MI2msEIw,5,100,147,BOTTOM,SUPPORT,UTILITY,UTILITY,1361,Seraphine,0,6894,10,False,0,False,False,9,143,410,3,0,0,0,0,0,0,0,0,0,0,0,False,False,0,10,0,0,2,0,0,1,0,0,25,0,0,0,5055,4800,0,3853,6617,1004,3158,3916,0,3364,13,2,44,26,46,3,5,3,3,4,0,708,0,6222,21033,3831,3982,3887,615,7541,0,0,528,24921,4447,0,873,12053,135,44,4,13,120,0,0,23,0,1,10,False,True,False,0,True,0,0
